open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
2025-06-01 16:00:00,2523.23,2547.79,2521.0,2538.76,31399.2275,2025-06-01 16:59:59.999,79650494.633736,178028,18964.5263,48108793.56882,0
2025-06-01 17:00:00,2538.77,2546.96,2532.7,2538.99,11390.8524,2025-06-01 17:59:59.999,28937898.399812,74875,5413.0755,13752094.059691,0
2025-06-01 18:00:00,2538.99,2539.0,2493.49,2520.2,24142.0208,2025-06-01 18:59:59.999,60773602.899306,149464,10587.2569,26648619.124184,0
2025-06-01 19:00:00,2520.21,2527.1,2511.82,2526.38,10315.2005,2025-06-01 19:59:59.999,25990153.748429,67465,5084.4188,12811322.963657,0
2025-06-01 20:00:00,2526.38,2537.0,2519.42,2525.7,8489.7509,2025-06-01 20:59:59.999,21462534.550786,66610,3731.8905,9436508.749692,0
2025-06-01 21:00:00,2525.7,2540.91,2524.34,2539.4,9680.5621,2025-06-01 21:59:59.999,24535780.930162,55070,4183.4357,10604853.933485,0
2025-06-01 22:00:00,2539.39,2547.59,2532.76,2535.28,13535.7331,2025-06-01 22:59:59.999,34382893.08079,93567,5703.8016,14492173.736654,0
2025-06-01 23:00:00,2535.28,2545.25,2533.2,2539.21,10373.4325,2025-06-01 23:59:59.999,26339990.477426,71576,4922.6997,12499241.607822,0
2025-06-02 00:00:00,2539.2,2540.66,2526.51,2534.32,14520.2472,2025-06-02 00:59:59.999,36788075.590681,117734,7094.1778,17976432.241239,0
2025-06-02 01:00:00,2534.32,2541.71,2525.05,2526.23,9747.1034,2025-06-02 01:59:59.999,24683011.301288,83075,4412.3036,11175550.883267,0
2025-06-02 02:00:00,2526.23,2527.5,2507.6,2508.53,14101.7992,2025-06-02 02:59:59.999,35497905.528628,96786,7247.8636,18246331.442947,0
2025-06-02 03:00:00,2508.54,2510.24,2485.65,2496.31,23695.5303,2025-06-02 03:59:59.999,59144806.433474,134058,10932.4965,27283045.312541,0
2025-06-02 04:00:00,2496.3,2501.6,2487.7,2492.59,9815.4285,2025-06-02 04:59:59.999,24493905.46738,72201,4213.3521,10518443.250893,0
2025-06-02 05:00:00,2492.59,2497.24,2483.37,2492.91,9683.8437,2025-06-02 05:59:59.999,24121885.154408,78846,4612.0163,11488569.43197,0
2025-06-02 06:00:00,2492.9,2500.0,2485.0,2494.79,13893.1142,2025-06-02 06:59:59.999,34644707.839636,84884,7777.4919,19401328.2196,0
2025-06-02 07:00:00,2494.8,2513.97,2494.8,2506.94,13363.4466,2025-06-02 07:59:59.999,33477905.027093,98940,7343.3519,18397558.356137,0
2025-06-02 08:00:00,2506.94,2515.92,2490.1,2494.58,15842.1779,2025-06-02 08:59:59.999,39673230.303734,139201,7603.7844,19044104.27527,0
2025-06-02 09:00:00,2494.57,2494.94,2475.0,2481.52,28887.7397,2025-06-02 09:59:59.999,71746135.914189,184108,12217.2287,30342031.802205,0
2025-06-02 10:00:00,2481.52,2489.78,2476.4,2482.1,16349.3649,2025-06-02 10:59:59.999,40591150.770457,109055,7895.7521,19604787.990249,0
2025-06-02 11:00:00,2482.1,2488.7,2475.72,2480.94,11290.6552,2025-06-02 11:59:59.999,28026894.914903,98005,5506.5567,13671231.692076,0
2025-06-02 12:00:00,2480.93,2498.39,2477.88,2497.69,15426.0504,2025-06-02 12:59:59.999,38387254.982678,117049,8402.3903,20912079.875709,0
2025-06-02 13:00:00,2497.69,2519.99,2487.35,2504.67,25138.227,2025-06-02 13:59:59.999,62921688.822679,213057,11939.2866,29893315.941081,0
