open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
2025-05-31 16:00:00,104556.08,104780.49,104400.0,104490.57,495.10689,2025-05-31 16:59:59.999,51788321.5140729,79513,170.29765,17811660.2593192,0
2025-05-31 17:00:00,104490.56,104619.05,104261.39,104349.06,343.45658,2025-05-31 17:59:59.999,35873211.2732769,61007,146.00311,15246762.8883496,0
2025-05-31 18:00:00,104349.06,104619.05,104349.05,104487.81,165.7009,2025-05-31 18:59:59.999,17315174.9708921,38498,87.64664,9158088.3801344,0
2025-05-31 19:00:00,104487.81,104750.0,104487.8,104698.02,233.47406,2025-05-31 19:59:59.999,24437139.1030942,44850,112.67111,11792684.3887979,0
2025-05-31 20:00:00,104698.03,104807.94,104533.54,104781.83,150.05341,2025-05-31 20:59:59.999,15708370.3782812,30150,70.0511,7333756.2107472,0
2025-05-31 21:00:00,104781.84,104884.16,104645.73,104863.16,317.26216,2025-05-31 21:59:59.999,33248225.6956602,62253,153.91046,16129078.1807972,0
2025-05-31 22:00:00,104863.16,104900.0,104603.08,104625.8,228.10691,2025-05-31 22:59:59.999,23897194.1364508,52792,100.12835,10490718.3673261,0
2025-05-31 23:00:00,104625.79,104840.0,104473.2,104591.88,360.75652,2025-05-31 23:59:59.999,37759990.0355288,58135,162.06998,16963329.9219579,0
2025-06-01 00:00:00,104591.88,104647.11,104320.02,104446.49,293.78295,2025-06-01 00:59:59.999,30688862.2090826,81426,131.48518,13734263.4744488,0
2025-06-01 01:00:00,104446.49,104505.58,103991.37,104126.07,466.13267,2025-06-01 01:59:59.999,48597321.0522881,86577,153.68227,16026390.6763332,0
2025-06-01 02:00:00,104126.08,104324.21,103924.52,104195.12,313.34738,2025-06-01 02:59:59.999,32628297.3649721,78286,159.68914,16630529.9733023,0
2025-06-01 03:00:00,104195.13,104464.1,103971.7,104381.03,259.25466,2025-06-01 03:59:59.999,27014129.6885401,59060,158.29551,16498119.3962963,0
2025-06-01 04:00:00,104381.03,104729.99,104360.9,104633.16,272.61866,2025-06-01 04:59:59.999,28503769.2034381,51894,152.9778,15993219.074795,0
2025-06-01 05:00:00,104633.16,104714.29,104450.0,104536.57,214.06083,2025-06-01 05:59:59.999,22392766.7100608,39907,100.73323,10538226.4006897,0
2025-06-01 06:00:00,104536.57,104536.58,104195.12,104258.93,257.26107,2025-06-01 06:59:59.999,26843395.9188338,59936,102.04746,10646333.6119728,0
2025-06-01 07:00:00,104258.93,104370.38,104202.48,104275.95,191.3218,2025-06-01 07:59:59.999,19951009.9064802,41555,99.23189,10347839.7860423,0
2025-06-01 08:00:00,104275.95,104386.6,104220.7,104386.6,247.34836,2025-06-01 08:59:59.999,25796391.3481841,48734,136.94903,14282720.6745039,0
2025-06-01 09:00:00,104386.6,104459.07,103752.49,103934.34,679.61906,2025-06-01 09:59:59.999,70671954.6444313,158481,242.40663,25206862.6363276,0
2025-06-01 10:00:00,103934.35,104040.52,103773.69,103930.99,302.13053,2025-06-01 10:59:59.999,31392765.4574901,74097,147.41842,15317680.3292666,0
2025-06-01 11:00:00,103930.98,104152.24,103845.46,104082.68,286.47453,2025-06-01 11:59:59.999,29801476.9204933,54950,167.24245,17397517.037117,0
2025-06-01 12:00:00,104082.67,104190.48,103783.01,103956.26,354.08075,2025-06-01 12:59:59.999,36820595.1727834,63820,188.06267,19561006.719191,0
2025-06-01 13:00:00,103956.25,104424.64,103951.61,104259.2,323.14616,2025-06-01 13:59:59.999,33684611.7074621,72939,175.29248,18270693.3615507,0
2025-06-01 14:00:00,104259.19,104773.59,104259.19,104599.7,782.69419,2025-06-01 14:59:59.999,81882684.9902531,122857,381.66764,39925095.8065606,0
2025-06-01 15:00:00,104599.7,104809.53,104502.99,104715.1,409.06118,2025-06-01 15:59:59.999,42824799.3865739,74103,179.45948,18788236.2141176,0
2025-06-01 16:00:00,104715.1,105299.21,104659.47,105038.8,1174.8504,2025-06-01 16:59:59.999,123464322.8806747,163128,591.08572,62109997.731514,0
